Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.778140343364916,0.6698245613965369,0.7538378476817706,0.683625730896554
2,0.7365777755062483,0.6934502923976602,0.7752557106464236,0.6725146201200655
3,0.7184848157983071,0.7028947368421049,0.7468663291206136,0.6898245613198531
4,0.7028466371207212,0.7087134502923975,0.7353913959425096,0.6945029238232395
5,0.687026319280703,0.7175730994152052,0.758862498447909,0.685380116833581
6,0.6697895710370696,0.7242105263157892,0.7569345005771568,0.6892397659842735
7,0.6428064561517616,0.7369005847813792,0.7601152369850561,0.6760233916873821
8,0.6115651459164091,0.7501169590782708,0.7828494781499717,0.6684210528686033
9,0.5667682687162663,0.7702923976468765,0.7969483793688097,0.6815204681290523
10,0.5096755468496802,0.7957017543720226,0.8453460108885291,0.6534502923140052
11,0.445247825216829,0.8232748538011696,0.9255523226275081,0.6672514618628208
12,0.3692466805971158,0.8568128654831327,1.0556659971621998,0.6271345028263784
13,0.30188183263031354,0.8843859649122806,1.2411634151280277,0.6640935674745438
14,0.25046240154762706,0.9049122807156958,1.2827682104445348,0.6211695909639547
15,0.20343403287101203,0.9229824561542926,1.4234351608488294,0.6431578949599237
16,0.16304555849722255,0.9385964912280704,1.5123347091674806,0.6333333332496778
17,0.13622910226297663,0.9497368421052628,1.533689307106866,0.641052631843857
